제목,대상,비용,교육기간,신청기간,장소,링크
[6월주말/유아5세]AI 마법사 탐험대,유아5세(2020년생),"43,000원","2026.06.13(토) ~ 2026.07.04(토)
16:00 ~ 17:00 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2591')
[6월주말/초1~2]AI 캐릭터로 만나는 가상의 세계!!,초1~2,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2592')
[6월주말/초1~2]미래 광학 연구소,초1~2,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2593')
[6월주말/초1~2]사소한 과학,초1~2,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2594')
[6월주말/초1~2]상상과 물건으로 배우는 재미있는 발명,초1~2,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2595')
[6월주말/초1~2]신비한 AI 과학 실험실,초1~2,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2596')
[6월주말/초1~2]인공지능 로봇의 감각 시스템,초1~2,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2597')
[6월주말/초3~4]게임 속으로 수학이 톡!,초3~4,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2598')
[6월주말/초3~4]물질의 비밀을 찾아서,초3~4,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2599')
[6월주말/초3~4]생명의 비밀을 탐구하는 생물 과학 실험,초3~4,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2600')
[6월주말/초3~4]수학비행기 세계 속으로!,초3~4,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2601')
[6월주말/초3~4]숨겨진 AI의 비밀 신호를 찾아라!,초3~4,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2602')
[6월주말/초3~4]인공지능의 날개 피지컬 컴퓨팅,초3~4,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2603')
[6월주말/초5~6]과학 개념과 원리를 더해 강해지는 발명,초5~6,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
09:30 ~ 11:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2604')
[6월주말/초5~6]과학다반사 물화생지,초5~6,"72,000원","2026.06.13(토) ~ 2026.07.04(토)
13:30 ~ 15:30 (토)",2026.05.13 10:00 ~ 2026.06.12 09:00,-,javascript:fn_drt('2605')
창업연계형 성인메이킹 교실:가죽지갑만들기,40세부터 70세까지,무료,2026.05.21(목) 14:00 ~ 2026.06.11(목) 14:00,2026.04.27 10:00 ~ 2026.05.15 09:00,-,javascript:fn_drt('2589')
